"Country","NOGOD","IQ","INCOME","INCOME.K","OPEN","OPEN.L","MUSLIM","M","LA","AF","INT1","INT2"
"Tajikistan",0.015,79.6,4807.21,0.480721,71.83,0.427430221608671,89.56,1,0,0,0.0422198455848802,0
"Tanzania",0.016,82.3,2578.16,0.257816,31.383276,0.344627513956137,27.98,0,0,1,0.00789440906468041,0.202313526725636
"Thailand",0.01,87.7,16886.51,1.688651,116.657196,0.475923968537745,5.06,0,0,0,0.645884641755436,0
"Togo",0.062,67.7,2214.23,0.221423,57.54194,0.405251407323109,17.2,0,0,1,0.00805182865892023,0.25798045094399
"Tunisia",0.01,80.8,10296.65,1.029665,94.35217,0.454703427102013,81.1,1,0,1,0.219203940136387,0.306614254431416
"Turkey",0.012,93.6,32833.54,3.283354,70.83492,0.426035209944549,97.84,1,0,0,1.95670973200454,0
"Uganda",0.01,72.2,2240.59,0.224059,41.71363,0.373082793391134,10.89,0,0,1,0.00698771568684896,0.227880849472203
"Ukraine",0.125,93.6,11416.22,1.141622,82.6213,0.441426751653377,1.08,0,0,0,0.253958034311916,0
"UnitedKingdom",0.312,100,46623.9,4.66239,56.670334,0.403725086393511,3.13,0,0,0,3.54314290894115,0
"UnitedStates",0.186,98,65564.94,6.556494,25.4814,0.323794877424948,1.01,0,0,0,4.50695564201922,0
"Uruguay",0.415,87.7,22206.99,2.220699,56.805923,0.403964059845953,0.03,0,1,0,0.804757162042185,0
"Uzbekistan",0.01,82.5,8055.91,0.805591,63.882538,0.415704605330271,83.87,1,0,0,0.112149898006395,0
"Vietnam",0.299,101,10813.98,1.081398,186.46819,0.522826066153367,0.1,0,0,0,0.319658007120029,0
"Zambia",0.01,66.8,3157.36,0.315736,85.99218,0.445425636188655,0.8,0,0,1,0.019778740079596,0.29727802938111
"Zimbabwe",0.076,76.7,2078.92,0.207892,56.31268,0.403091973181184,0.59,0,0,1,0.00702237237164928,0.255921177406125
